Timestamp,Method,Overloaded_BS,Jain_Index,Throughput,Avg_Utilization
2025-11-10 00:24:43,baseline,1,0.4797,250,0.439
2025-11-10 00:24:57,baseline,1,0.4302,231,0.405
2025-11-10 00:24:57,heuristic,1,0.4558,244,0.428
2025-11-10 00:25:25,baseline,1,0.4457,238,0.417
2025-11-10 00:25:36,baseline,1,0.4405,231,0.407
2025-11-10 00:25:47,baseline,1,0.4606,243,0.426
2025-11-10 00:25:58,baseline,1,0.4295,234,0.409
2025-11-10 00:26:09,baseline,1,0.4228,227,0.397
2025-11-10 00:26:20,baseline,1,0.4334,233,0.408
2025-11-10 00:26:31,baseline,1,0.4665,242,0.425
2025-11-10 00:26:42,baseline,1,0.4284,233,0.408
2025-11-10 00:26:53,baseline,1,0.4445,233,0.41
2025-11-10 00:27:04,baseline,1,0.4494,240,0.421
2025-11-10 00:27:15,baseline,1,0.4389,234,0.41
2025-11-10 00:27:26,baseline,1,0.4259,229,0.401
2025-11-10 00:27:37,baseline,1,0.4259,231,0.404
2025-11-10 00:27:48,baseline,1,0.4642,243,0.427
2025-11-10 00:27:59,baseline,1,0.4296,234,0.408
2025-11-10 00:28:10,baseline,1,0.4222,229,0.4
2025-11-10 00:28:21,baseline,1,0.4483,241,0.423
2025-11-10 00:28:32,baseline,1,0.4159,224,0.393
2025-11-10 00:28:43,baseline,1,0.4234,230,0.402
2025-11-10 00:28:54,baseline,1,0.4114,222,0.389
2025-11-10 00:29:05,baseline,1,0.4266,230,0.402
2025-11-10 00:29:16,baseline,1,0.4411,234,0.411
2025-11-10 00:29:27,baseline,1,0.4089,223,0.39
2025-11-10 00:29:38,baseline,1,0.4296,233,0.407
2025-11-10 00:29:49,baseline,1,0.4329,233,0.408
2025-11-10 00:29:59,baseline,1,0.4718,250,0.438
2025-11-10 00:30:10,baseline,1,0.4415,236,0.414
2025-11-10 00:30:21,baseline,1,0.4041,221,0.387
2025-11-10 00:30:32,baseline,1,0.4582,241,0.423
2025-11-10 00:30:43,baseline,1,0.4262,232,0.405
2025-11-10 00:30:54,baseline,1,0.4085,224,0.391
2025-11-10 00:31:05,baseline,1,0.4224,231,0.403
2025-11-10 00:31:16,baseline,1,0.4785,249,0.438
2025-11-10 00:31:27,baseline,1,0.4144,226,0.396
2025-11-10 00:31:38,baseline,1,0.4242,227,0.397
2025-11-10 00:31:49,baseline,1,0.4483,235,0.413
2025-11-10 00:32:00,baseline,1,0.459,237,0.416
2025-11-10 00:32:10,baseline,1,0.4495,236,0.414
2025-11-10 00:32:21,baseline,1,0.4433,235,0.413
2025-11-10 00:32:33,baseline,1,0.4269,230,0.403
2025-11-10 00:32:43,baseline,1,0.4859,251,0.441
2025-11-10 00:32:56,baseline,1,0.4444,236,0.414
2025-11-10 00:33:07,baseline,1,0.4016,223,0.389
2025-11-10 00:33:18,baseline,1,0.3884,216,0.377
2025-11-10 00:33:29,baseline,1,0.4453,239,0.418
2025-11-10 00:33:40,baseline,1,0.4227,229,0.401
2025-11-10 00:33:51,baseline,1,0.4601,241,0.423
2025-11-10 00:34:02,baseline,1,0.4171,229,0.4
2025-11-10 00:34:13,baseline,1,0.4138,225,0.393
2025-11-10 00:34:24,baseline,1,0.4327,233,0.409
2025-11-10 00:34:35,baseline,1,0.4094,226,0.396
2025-11-10 00:34:47,baseline,1,0.4148,228,0.398
2025-11-10 00:34:50,heuristic,1,0.4246,231,0.405
2025-11-10 00:35:01,baseline,1,0.4109,226,0.394
2025-11-10 00:35:12,baseline,1,0.4643,242,0.426
2025-11-10 00:35:16,kmeans,1,0.3718,194,0.337
2025-11-10 00:35:27,baseline,1,0.4198,225,0.394
2025-11-10 00:35:38,baseline,1,0.4483,240,0.421
2025-11-10 00:35:50,baseline,1,0.4045,222,0.389
2025-11-10 00:36:01,baseline,1,0.4,218,0.381
2025-11-10 00:36:13,baseline,1,0.4594,238,0.418
2025-11-10 00:36:26,baseline,1,0.4022,225,0.393
2025-11-10 00:36:40,baseline,1,0.4431,236,0.414
2025-11-10 00:36:54,baseline,1,0.4465,242,0.423
2025-11-10 00:37:03,kmeans,1,0.4705,242,0.43
2025-11-10 00:37:14,baseline,1,0.4313,233,0.408
2025-11-10 00:37:17,kmeans,1,0.3626,192,0.332
2025-11-10 00:37:35,baseline,1,0.4638,243,0.427
2025-11-10 00:37:46,baseline,1,0.4263,232,0.405
2025-11-10 00:37:57,baseline,1,0.4589,242,0.424
2025-11-10 00:38:08,baseline,1,0.4245,228,0.399
2025-11-10 00:38:19,baseline,1,0.4439,238,0.417
2025-11-10 00:38:20,baseline,1,0.445,237,0.415
2025-11-10 00:38:23,heuristic,1,0.4638,245,0.431
2025-11-10 00:38:34,baseline,1,0.4491,240,0.421
2025-11-10 00:38:45,baseline,1,0.425,231,0.405
2025-11-10 00:38:56,baseline,1,0.4643,242,0.426
2025-11-10 00:39:07,baseline,1,0.418,232,0.404
2025-11-10 00:39:18,baseline,1,0.4216,226,0.396
2025-11-10 00:39:29,baseline,1,0.429,229,0.401
2025-11-10 00:39:40,baseline,1,0.3869,215,0.376
2025-11-10 00:39:51,baseline,1,0.4414,238,0.417
2025-11-10 00:40:02,baseline,1,0.441,239,0.418
2025-11-10 00:40:14,baseline,1,0.4047,222,0.388
2025-11-10 00:40:25,baseline,1,0.4477,233,0.409
2025-11-10 00:40:36,baseline,1,0.4571,242,0.424
2025-11-10 00:40:47,baseline,1,0.4509,243,0.426
2025-11-10 00:40:58,baseline,1,0.3985,222,0.387
2025-11-10 00:41:09,baseline,1,0.4547,240,0.421
2025-11-10 00:41:21,baseline,1,0.4188,228,0.398
2025-11-10 00:41:32,baseline,1,0.4222,228,0.399
2025-11-10 00:41:43,baseline,1,0.4268,233,0.407
2025-11-10 00:41:54,baseline,1,0.4014,220,0.384
2025-11-10 00:42:05,baseline,1,0.4167,223,0.391
2025-11-10 00:42:17,baseline,1,0.4104,222,0.388
2025-11-10 00:42:28,baseline,1,0.445,236,0.414
2025-11-10 00:42:39,baseline,1,0.4647,244,0.428
2025-11-10 00:42:50,baseline,1,0.4256,228,0.4
2025-11-10 00:43:01,baseline,1,0.4528,237,0.415
2025-11-10 00:43:12,baseline,1,0.4656,244,0.428
2025-11-10 00:43:23,baseline,1,0.4279,229,0.401
2025-11-10 00:43:34,baseline,1,0.4537,236,0.415
2025-11-10 00:43:45,baseline,1,0.4357,236,0.412
2025-11-10 00:43:56,baseline,1,0.4455,237,0.415
2025-11-10 00:44:07,baseline,1,0.4282,229,0.401
2025-11-10 00:44:18,baseline,1,0.4245,226,0.397
2025-11-10 00:44:29,baseline,1,0.4363,232,0.407
2025-11-10 00:44:40,baseline,1,0.4245,228,0.4
2025-11-10 00:44:51,baseline,1,0.437,234,0.41
2025-11-10 00:45:02,baseline,1,0.447,239,0.419
2025-11-10 00:45:13,baseline,1,0.4426,236,0.413
2025-11-10 00:45:24,baseline,1,0.4313,232,0.406
2025-11-10 00:45:35,baseline,1,0.4393,238,0.417
2025-11-10 00:45:46,baseline,1,0.4656,246,0.432
2025-11-10 00:45:57,baseline,1,0.4519,241,0.423
2025-11-10 00:46:08,baseline,1,0.4414,234,0.411
2025-11-10 00:46:19,baseline,1,0.4593,240,0.421
2025-11-10 00:46:30,baseline,1,0.4329,233,0.407
2025-11-10 00:46:41,baseline,1,0.4179,225,0.395
2025-11-10 00:46:52,baseline,1,0.4632,244,0.428
2025-11-10 00:47:03,baseline,1,0.4341,231,0.405
2025-11-10 00:47:14,baseline,1,0.4321,230,0.403
2025-11-10 00:47:25,baseline,1,0.4198,230,0.402
2025-11-10 00:47:37,baseline,1,0.4427,240,0.42
2025-11-10 00:47:48,baseline,1,0.437,234,0.41
2025-11-10 00:47:59,baseline,1,0.4189,226,0.396
2025-11-10 00:48:10,baseline,1,0.4797,250,0.44
2025-11-10 00:48:21,baseline,1,0.439,237,0.414
2025-11-10 00:48:32,baseline,1,0.4693,243,0.426
2025-11-10 00:48:44,baseline,1,0.4475,235,0.413
2025-11-10 00:48:55,baseline,1,0.3992,221,0.386
2025-11-10 00:49:06,baseline,1,0.4172,231,0.403
2025-11-10 00:52:16,baseline,1,0.4211,228,0.399
2025-11-10 00:52:27,baseline,1,0.4658,251,0.44
2025-11-10 00:52:38,baseline,1,0.4286,234,0.41
2025-11-10 00:52:49,baseline,1,0.4853,248,0.436
2025-11-10 00:53:00,baseline,1,0.4412,234,0.411
2025-11-10 00:53:11,baseline,1,0.4098,223,0.39
2025-11-10 00:53:22,baseline,1,0.4554,238,0.417
2025-11-10 00:53:33,baseline,1,0.405,225,0.392
2025-11-10 00:53:45,baseline,1,0.4001,223,0.389
2025-11-10 00:53:56,baseline,1,0.4233,227,0.397
2025-11-10 00:54:07,baseline,1,0.4627,244,0.429
2025-11-10 00:54:18,baseline,1,0.4233,230,0.403
2025-11-10 00:54:30,baseline,1,0.4312,230,0.402
2025-11-10 00:54:41,baseline,1,0.4552,242,0.423
2025-11-10 00:54:52,baseline,1,0.4135,222,0.39
2025-11-10 00:55:03,baseline,1,0.4553,244,0.427
2025-11-10 00:55:14,baseline,1,0.4476,237,0.415
2025-11-10 00:55:25,baseline,1,0.4541,236,0.415
2025-11-10 00:55:36,baseline,1,0.4296,230,0.403
2025-11-10 00:55:47,baseline,1,0.4508,239,0.419
2025-11-10 00:55:59,baseline,1,0.4638,240,0.421
2025-11-10 00:56:10,baseline,1,0.4336,233,0.407
2025-11-10 00:56:21,baseline,1,0.4417,235,0.412
2025-11-10 00:56:31,baseline,1,0.4815,243,0.429
2025-11-10 00:56:42,baseline,1,0.4193,229,0.4
2025-11-10 00:56:54,baseline,1,0.4694,245,0.43
2025-11-10 00:57:05,baseline,1,0.45,243,0.425
2025-11-10 00:57:16,baseline,1,0.4454,240,0.42
2025-11-10 00:57:28,baseline,1,0.4319,229,0.401
2025-11-10 00:57:39,baseline,1,0.4857,253,0.444
2025-11-10 00:57:50,baseline,1,0.4022,223,0.389
2025-11-10 00:58:01,baseline,1,0.4454,237,0.416
2025-11-10 00:58:13,baseline,1,0.4418,235,0.412
2025-11-10 00:58:24,baseline,1,0.459,240,0.422
2025-11-10 00:58:35,baseline,1,0.4485,240,0.42
2025-11-10 00:58:46,baseline,1,0.4891,250,0.44
2025-11-10 00:58:57,baseline,1,0.4121,225,0.394
2025-11-10 00:59:09,baseline,1,0.4652,242,0.426
2025-11-10 00:59:20,baseline,1,0.4274,232,0.406
2025-11-10 00:59:31,baseline,1,0.4537,240,0.421
2025-11-10 00:59:42,baseline,1,0.4351,233,0.408
2025-11-10 00:59:54,baseline,1,0.4631,245,0.43
2025-11-10 01:00:05,baseline,1,0.453,246,0.43
2025-11-10 01:00:16,baseline,1,0.4523,238,0.418
2025-11-10 01:00:27,baseline,1,0.4893,250,0.44
2025-11-10 01:00:38,baseline,1,0.4252,232,0.406
2025-11-10 01:00:49,baseline,1,0.4161,229,0.4
2025-11-10 01:01:00,baseline,1,0.4338,236,0.412
2025-11-10 01:01:11,baseline,1,0.4828,251,0.44
2025-11-10 01:01:22,baseline,1,0.3922,218,0.38
2025-11-10 01:01:33,baseline,1,0.4105,226,0.395
2025-11-10 01:01:45,baseline,1,0.4226,227,0.397
2025-11-10 01:15:17,baseline,1,0.4291,229,0.401
2025-11-10 01:15:55,baseline,1,0.4462,236,0.414
2025-11-10 01:15:58,baseline,1,0.4637,244,0.428
2025-11-10 01:17:11,baseline,1,0.4423,236,0.413
2025-11-10 01:17:20,heuristic,1,0.4755,248,0.436
2025-11-10 01:18:06,heuristic,1,0.4412,237,0.416
2025-11-10 01:21:45,baseline,1,0.4402,236,0.414
2025-11-10 01:21:51,baseline,1,0.4025,219,0.383
2025-11-10 01:21:54,baseline,1,0.4901,253,0.445
2025-11-10 01:21:58,heuristic,1,0.4483,241,0.424
2025-11-10 01:22:03,heuristic,1,0.4304,235,0.411
2025-11-10 01:22:07,kmeans,1,0.2834,187,0.328
2025-11-10 01:22:58,baseline,1,0.4601,244,0.428
2025-11-10 01:28:18,baseline,1,0.4179,227,0.397
2025-11-10 01:29:22,baseline,1,0.455,240,0.422
2025-11-10 01:29:27,kmeans,1,0.2986,187,0.328
2025-11-10 01:29:48,baseline,1,0.3997,224,0.391
2025-11-10 01:29:51,baseline,1,0.5031,260,0.457
2025-11-10 01:30:19,baseline,1,0.4167,227,0.397
2025-11-10 01:30:21,baseline,1,0.4536,238,0.418
2025-11-10 01:56:17,baseline,1,0.4483,237,0.416
2025-11-10 01:56:26,baseline,1,0.4606,241,0.423
2025-11-10 01:56:52,baseline,1,0.4275,231,0.405
2025-11-10 01:57:46,baseline,1,0.4523,241,0.423
2025-11-10 01:58:27,baseline,1,0.392,219,0.382
2025-11-10 01:59:05,baseline,1,0.4102,226,0.395
2025-11-10 02:13:13,baseline,1,0.4275,231,0.405
2025-11-10 02:14:01,baseline,1,0.3819,216,0.377
2025-11-10 02:16:23,baseline,1,0.4496,237,0.416
2025-11-10 02:16:59,baseline,1,0.4797,249,0.438
2025-11-10 02:18:13,baseline,1,0.4292,234,0.409
2025-11-10 02:19:42,baseline,1,0.4196,229,0.401
2025-11-10 02:20:46,baseline,1,0.4359,236,0.413
2025-11-10 02:24:12,baseline,1,0.4549,235,0.413
2025-11-10 02:24:22,baseline,1,0.4751,243,0.427
2025-11-10 02:24:37,baseline,1,0.4696,249,0.437
2025-11-10 02:24:45,baseline,1,0.4207,229,0.402
2025-11-10 02:24:59,heuristic,1,0.4519,241,0.423
2025-11-10 02:25:08,baseline,1,0.4224,228,0.399
2025-11-10 02:25:47,baseline,1,0.5091,260,0.459
2025-11-10 02:25:58,baseline,1,0.4266,229,0.402
2025-11-10 02:26:15,baseline,1,0.4347,238,0.416
2025-11-10 02:26:24,baseline,1,0.4637,246,0.432
2025-11-10 02:27:00,baseline,1,0.4432,235,0.412
2025-11-10 02:27:36,heuristic,1,0.4388,237,0.416
2025-11-10 02:27:47,baseline,1,0.4675,241,0.424
2025-11-10 02:28:20,baseline,1,0.4417,235,0.412
2025-11-10 02:28:28,baseline,1,0.433,236,0.412
2025-11-10 02:32:26,baseline,1,0.4703,246,0.431
2025-11-10 02:33:13,baseline,1,0.4636,242,0.425
2025-11-10 02:34:27,baseline,1,0.4715,247,0.435
2025-11-10 02:35:40,baseline,1,0.465,243,0.426
2025-11-10 02:38:27,baseline,1,0.4391,236,0.413
2025-11-10 02:42:14,baseline,1,0.4145,226,0.395
2025-11-10 02:55:08,baseline,1,0.4823,251,0.441
2025-11-10 02:55:27,baseline,1,0.4475,235,0.413
2025-11-10 02:55:47,baseline,1,0.4232,232,0.406
2025-11-10 02:56:28,baseline,1,0.4878,252,0.442
2025-11-10 02:56:52,baseline,1,0.437,235,0.411
2025-11-10 02:58:44,baseline,1,0.4453,242,0.424
2025-11-10 02:59:19,heuristic,1,0.4309,233,0.408
2025-11-10 02:59:38,heuristic,1,0.4645,247,0.433
2025-11-10 02:59:50,baseline,1,0.4296,231,0.404
2025-11-10 03:46:50,baseline,1,0.3961,218,0.381
2025-11-10 03:47:24,heuristic,1,0.4342,233,0.41
2025-11-10 04:00:47,baseline,1,0.4789,248,0.436
2025-11-10 04:01:37,heuristic,1,0.4448,241,0.422
2025-11-10 04:02:26,baseline,1,0.4415,240,0.419
2025-11-10 04:03:36,baseline,1,0.4827,248,0.436
2025-11-10 04:03:58,heuristic,1,0.3847,215,0.377
2025-11-10 04:06:08,heuristic,1,0.4196,230,0.403
2025-11-10 04:10:23,baseline,1,0.4662,244,0.429
2025-11-10 04:16:03,baseline,1,0.4696,244,0.428
2025-11-10 04:16:15,baseline,1,0.4271,228,0.4
2025-11-10 04:22:57,baseline,1,0.45872741068470607,244,0.42770897832817334
2025-11-10 04:23:16,baseline,1,0.4535388240994637,237,0.4152161449375072
2025-11-10 04:24:24,baseline,1,0.4550274856079297,238,0.4173833276000459
2025-11-10 04:24:40,baseline,1,0.42204253823167515,228,0.39950120399036804
2025-11-10 04:24:54,baseline,1,0.4415718931908106,235,0.4116099071207431
2025-11-10 04:25:08,baseline,1,0.4465673642972367,235,0.41277949776401784
2025-11-10 04:25:22,baseline,1,0.4573495100326645,244,0.4276688453159041
2025-11-10 04:25:37,baseline,1,0.42575944975715707,229,0.40112372434353855
2025-11-10 04:25:51,baseline,1,0.4581865859144421,241,0.4225547528953102
2025-11-10 04:26:06,baseline,1,0.4270468963063971,229,0.40176585253984637
2025-11-10 04:26:21,baseline,1,0.4206081414392549,230,0.40157665405343423
2025-11-10 04:26:35,baseline,1,0.44339053562142483,234,0.41054924893934186
2025-11-10 04:26:52,baseline,1,0.4730517848164907,244,0.4286033711730306
2025-11-10 04:27:08,baseline,1,0.4036465036465037,221,0.3862229102167183
2025-11-10 04:27:22,baseline,1,0.4704895598816934,249,0.4361139777548446
2025-11-10 04:27:36,baseline,1,0.4437560552751007,239,0.4182777204449031
2025-11-10 04:27:50,baseline,1,0.4562903838844546,241,0.4232714138286893
2025-11-10 04:28:05,baseline,1,0.48245905820000223,252,0.44295952299048275
2025-11-10 04:28:19,baseline,1,0.46842612677753676,247,0.4340270611168444
2025-11-10 04:28:33,baseline,1,0.396830864622804,217,0.3799736268776516
2025-11-10 04:28:48,baseline,1,0.4422242826971617,238,0.41640293544318313
2025-11-10 04:29:02,baseline,1,0.4540113173621027,242,0.42420020639834877
2025-11-10 04:29:16,baseline,1,0.44208506555804283,231,0.4054924893934182
2025-11-10 04:29:31,baseline,1,0.43304900125801604,232,0.40726407522073155
2025-11-10 04:29:45,baseline,1,0.4105883961177183,226,0.3942323128081642
2025-11-10 04:30:00,baseline,1,0.4453128309399754,235,0.4117933723196881
2025-11-10 04:30:14,baseline,1,0.42524631655066436,230,0.4020869166380003
2025-11-10 04:30:28,baseline,1,0.46873821758286743,250,0.4378683637197569
2025-11-10 04:30:42,baseline,1,0.4416750408558929,237,0.416036005045293
2025-11-10 04:30:57,baseline,1,0.41259099014821526,224,0.3918759316592133
2025-11-10 04:31:12,baseline,1,0.4007294192844923,221,0.3860910446049765
2025-11-10 04:31:26,baseline,1,0.454291560956766,249,0.4349214539617016
2025-11-10 04:31:54,baseline,1,0.44689845160064595,237,0.41593853915835344
2025-11-10 04:32:09,baseline,1,0.46122628057475046,242,0.424234606123151
2025-11-10 04:32:22,baseline,1,0.44387703406488743,241,0.42140809540190344
2025-11-10 04:32:36,baseline,1,0.4408603853259435,234,0.4097981882811604
2025-11-10 04:32:50,baseline,1,0.4585427797624693,240,0.42178075908726065
2025-11-10 04:33:04,baseline,1,0.469120824331062,245,0.42962962962962964
2025-11-10 04:33:17,baseline,1,0.47226033126986783,247,0.43387226235523446
2025-11-10 04:33:31,baseline,1,0.44618594969288666,236,0.41436188510491917
2025-11-10 04:33:45,baseline,1,0.4604075199819881,238,0.4178247907350074
2025-11-10 04:33:59,baseline,1,0.4148859543817527,224,0.3923403279440431
2025-11-10 04:34:14,baseline,1,0.45411950076709373,243,0.42578259373925004
2025-11-10 04:34:28,baseline,1,0.40802992024570267,221,0.3868822382754271
2025-11-10 04:34:42,baseline,1,0.4521176309497477,240,0.42129916294002984
2025-11-10 04:34:56,baseline,1,0.4274102450763715,233,0.4074360738447426
2025-11-10 04:35:15,baseline,1,0.4774091263179838,247,0.43435385850246533
2025-11-10 04:35:29,baseline,1,0.4504972168365751,237,0.41621373695677105
2025-11-10 04:35:43,baseline,1,0.45968341422886877,244,0.42721018231854146
2025-11-10 04:35:57,baseline,1,0.412398520440025,226,0.39481137484233453
2025-11-10 04:36:10,baseline,1,0.42775401800535084,234,0.4090643274853802
2025-11-10 04:36:24,baseline,1,0.4702618006136972,246,0.4317108129801628
2025-11-10 04:36:38,baseline,1,0.4548899691600021,243,0.42568512785231055
2025-11-10 04:36:53,baseline,1,0.46865944451874636,246,0.4323013415892673
2025-11-10 04:37:07,baseline,1,0.4532329739958751,239,0.4192753124641669
2025-11-10 04:37:21,baseline,1,0.4445721583652618,237,0.41685013186561176
2025-11-10 04:37:35,baseline,1,0.404837355817748,223,0.3896972824217406
2025-11-10 04:37:49,baseline,1,0.46108987552680586,243,0.4257080610021786
2025-11-10 04:39:39,heuristic,1,0.42649985783338074,233,0.4080782020410503
2025-11-10 04:53:17,heuristic,1,0.4365033174252124,237,0.41527921109964455
2025-11-10 05:04:24,heuristic,0,0.19602718243596445,300,0.15079747422835055
2025-11-10 05:07:05,heuristic,0,0.251846877098724,300,0.16283312431097016
2025-11-10 05:09:36,heuristic,0,0.23820867079561697,300,0.18009797036909087
2025-11-10 05:10:19,heuristic,0,0.3270111183780249,300,0.2224953111767891
2025-11-10 05:11:29,baseline,1,0.19064565327910524,240,0.1414763794044616
2025-11-10 05:11:38,baseline,1,0.1941621901495049,242,0.15480032011534958
2025-11-10 05:11:49,baseline,1,0.16345210853220007,217,0.13576258427796267
2025-11-10 05:11:53,heuristic,0,0.21659085986571366,300,0.1561526878006808
2025-11-10 05:13:54,heuristic,0,0.2866150759529951,300,0.21278939612899272
2025-11-10 05:14:22,baseline,1,0.23520188161505293,290,0.16574888314304853
2025-11-10 05:20:07,baseline,1,0.16566348224639682,290,0.14338508898508898
2025-11-10 05:25:41,baseline,1,0.1418305597579425,240,0.11862291332006757
2025-11-10 05:26:58,baseline,0,0.2351650074468919,300,0.15567356023821702
2025-11-10 05:29:05,baseline,1,0.1141552511415525,223,0.10613134116667942
2025-11-10 05:30:50,baseline,1,0.1717819514429684,205,0.14437958548318156
2025-11-10 05:34:00,baseline,1,0.16126431220770843,238,0.15476879192043788
2025-11-10 05:34:43,baseline,1,0.1926782273603083,287,0.15013196532377077
2025-11-10 05:35:00,baseline,0,0.28323262839879154,300,0.17089597889538635
2025-11-10 05:37:57,baseline,1,0.14306833897658447,240,0.14201135650288194
2025-11-10 05:38:31,heuristic,0,0.24362514211466624,300,0.16474977439414965
2025-11-10 05:39:44,heuristic,0,0.3078185922429715,300,0.18208068245316233
